Cust_id,y
ABC1,no
ABC2,no
ABC3,no
ABC4,no
ABC5,no
ABC6,no
ABC7,no
ABC8,no
ABC9,no
ABC10,no
ABC11,no
ABC12,no
ABC13,no
ABC14,no
ABC15,no
ABC16,no
ABC17,no
ABC18,no
ABC19,no
ABC20,no
ABC21,no
ABC22,no
ABC23,no
ABC24,no
ABC25,no
ABC26,no
ABC27,no
ABC28,no
ABC29,no
ABC30,no
ABC31,no
ABC32,no
ABC33,no
ABC34,no
ABC35,no
ABC36,no
ABC37,no
ABC38,no
ABC39,no
ABC40,no
ABC41,no
ABC42,no
ABC43,no
ABC44,no
ABC45,no
ABC46,no
ABC47,no
ABC48,no
ABC49,no
ABC50,no
ABC51,no
ABC52,no
ABC53,no
ABC54,no
ABC55,no
ABC56,no
ABC57,no
ABC58,no
ABC59,no
ABC60,no
ABC61,no
ABC62,no
ABC63,no
ABC64,no
ABC65,no
ABC66,no
ABC67,no
ABC68,no
ABC69,no
ABC70,no
ABC71,no
ABC72,no
ABC73,no
ABC74,no
ABC75,no
ABC76,no
ABC77,no
ABC78,no
ABC79,no
ABC80,no
ABC81,no
ABC82,no
ABC83,no
ABC84,yes
ABC85,no
ABC86,no
ABC87,yes
ABC88,yes
ABC89,no
ABC90,no
ABC91,no
ABC92,no
ABC93,no
ABC94,no
ABC95,no
ABC96,no
ABC97,no
ABC98,no
ABC99,no
ABC100,no
ABC101,no
ABC102,no
ABC103,no
ABC104,no
ABC105,no
ABC106,no
ABC107,no
ABC108,no
ABC109,no
ABC110,no
ABC111,no
ABC112,no
ABC113,no
ABC114,no
ABC115,no
ABC116,no
ABC117,no
ABC118,no
ABC119,no
ABC120,no
ABC121,no
ABC122,no
ABC123,no
ABC124,no
ABC125,no
ABC126,no
ABC127,no
ABC128,no
ABC129,no
ABC130,yes
ABC131,no
ABC132,no
ABC133,no
ABC134,no
ABC135,no
ABC136,no
ABC137,no
ABC138,no
ABC139,no
ABC140,no
ABC141,no
ABC142,no
ABC143,no
ABC144,no
ABC145,no
ABC146,no
ABC147,no
ABC148,no
ABC149,no
ABC150,no
ABC151,no
ABC152,no
ABC153,no
ABC154,no
ABC155,no
ABC156,no
ABC157,no
ABC158,no
ABC159,no
ABC160,no
ABC161,no
ABC162,no
ABC163,no
ABC164,no
ABC165,no
ABC166,no
ABC167,no
ABC168,no
ABC169,yes
ABC170,no
ABC171,no
ABC172,no
ABC173,no
ABC174,no
ABC175,no
ABC176,no
ABC177,no
ABC178,no
ABC179,no
ABC180,no
ABC181,no
ABC182,no
ABC183,no
ABC184,no
ABC185,no
ABC186,no
ABC187,no
ABC188,no
ABC189,no
ABC190,no
ABC191,no
ABC192,no
ABC193,no
ABC194,no
ABC195,no
ABC196,no
ABC197,no
ABC198,no
ABC199,no
ABC200,no
ABC201,no
ABC202,no
ABC203,no
ABC204,no
ABC205,no
ABC206,no
ABC207,no
ABC208,no
ABC209,no
ABC210,no
ABC211,no
ABC212,no
ABC213,no
ABC214,no
ABC215,no
ABC216,no
ABC217,no
ABC218,no
ABC219,no
ABC220,no
ABC221,no
ABC222,no
ABC223,no
ABC224,no
ABC225,no
ABC226,no
ABC227,no
ABC228,no
ABC229,no
ABC230,no
ABC231,no
ABC232,no
ABC233,no
ABC234,no
ABC235,no
ABC236,no
ABC237,no
ABC238,no
ABC239,no
ABC240,no
ABC241,no
ABC242,no
ABC243,no
ABC244,no
ABC245,no
ABC246,no
ABC247,no
ABC248,no
ABC249,no
ABC250,no
ABC251,no
ABC252,no
ABC253,no
ABC254,no
ABC255,no
ABC256,no
ABC257,no
ABC258,no
ABC259,no
ABC260,no
ABC261,no
ABC262,no
ABC263,no
ABC264,no
ABC265,no
ABC266,no
ABC267,no
ABC268,no
ABC269,no
ABC270,no
ABC271,yes
ABC272,no
ABC273,no
ABC274,no
ABC275,no
ABC276,no
ABC277,no
ABC278,no
ABC279,no
ABC280,no
ABC281,no
ABC282,no
ABC283,no
ABC284,no
ABC285,no
ABC286,no
ABC287,no
ABC288,no
ABC289,no
ABC290,no
ABC291,no
ABC292,no
ABC293,no
ABC294,no
ABC295,no
ABC296,no
ABC297,no
ABC298,no
ABC299,no
ABC300,no
ABC301,no
ABC302,no
ABC303,no
ABC304,no
ABC305,no
ABC306,no
ABC307,no
ABC308,no
ABC309,no
ABC310,no
ABC311,no
ABC312,no
ABC313,no
ABC314,no
ABC315,no
ABC316,no
ABC317,no
ABC318,no
ABC319,no
ABC320,no
ABC321,no
ABC322,no
ABC323,no
ABC324,no
ABC325,no
ABC326,no
ABC327,no
ABC328,no
ABC329,no
ABC330,no
ABC331,no
ABC332,no
ABC333,no
ABC334,no
ABC335,no
ABC336,no
ABC337,no
ABC338,no
ABC339,no
ABC340,no
ABC341,no
ABC342,no
ABC343,no
ABC344,no
ABC345,no
ABC346,no
ABC347,no
ABC348,no
ABC349,no
ABC350,no
ABC351,no
ABC352,no
ABC353,no
ABC354,no
ABC355,no
ABC356,no
ABC357,no
ABC358,no
ABC359,no
ABC360,no
ABC361,no
ABC362,no
ABC363,no
ABC364,no
ABC365,no
ABC366,no
ABC367,no
ABC368,no
ABC369,no
ABC370,no
ABC371,no
ABC372,no
ABC373,no
ABC374,no
ABC375,no
ABC376,no
ABC377,no
ABC378,no
ABC379,no
ABC380,no
ABC381,no
ABC382,no
ABC383,no
ABC384,no
ABC385,no
ABC386,no
ABC387,no
ABC388,no
ABC389,yes
ABC390,no
ABC391,yes
ABC392,no
ABC393,no
ABC394,no
ABC395,no
ABC396,no
ABC397,no
ABC398,no
ABC399,no
ABC400,no
ABC401,no
ABC402,no
ABC403,no
ABC404,no
ABC405,no
ABC406,no
ABC407,no
ABC408,no
ABC409,no
ABC410,no
ABC411,no
ABC412,no
ABC413,no
ABC414,no
ABC415,no
ABC416,no
ABC417,no
ABC418,no
ABC419,no
ABC420,no
ABC421,no
ABC422,no
ABC423,no
ABC424,no
ABC425,no
ABC426,no
ABC427,no
ABC428,no
ABC429,no
ABC430,no
ABC431,no
ABC432,no
ABC433,no
ABC434,no
ABC435,no
ABC436,no
ABC437,no
ABC438,no
ABC439,no
ABC440,no
ABC441,no
ABC442,no
ABC443,no
ABC444,no
ABC445,no
ABC446,no
ABC447,yes
ABC448,no
ABC449,no
ABC450,no
ABC451,no
ABC452,no
ABC453,no
ABC454,no
ABC455,no
ABC456,no
ABC457,no
ABC458,yes
ABC459,no
ABC460,no
ABC461,no
ABC462,no
ABC463,no
ABC464,no
ABC465,no
ABC466,no
ABC467,no
ABC468,no
ABC469,no
ABC470,no
ABC471,no
ABC472,no
ABC473,no
ABC474,no
ABC475,yes
ABC476,no
ABC477,no
ABC478,no
ABC479,no
ABC480,no
ABC481,no
ABC482,no
ABC483,no
ABC484,no
ABC485,no
ABC486,no
ABC487,no
ABC488,no
ABC489,no
ABC490,no
ABC491,no
ABC492,no
ABC493,no
ABC494,no
ABC495,no
ABC496,no
ABC497,no
ABC498,no
ABC499,no
ABC500,no
ABC501,no
ABC502,no
ABC503,no
ABC504,no
ABC505,no
ABC506,no
ABC507,no
ABC508,no
ABC509,no
ABC510,no
ABC511,no
ABC512,no
ABC513,yes
ABC514,no
ABC515,no
ABC516,no
ABC517,no
ABC518,no
ABC519,no
ABC520,no
ABC521,no
ABC522,no
ABC523,no
ABC524,no
ABC525,no
ABC526,no
ABC527,no
ABC528,no
ABC529,no
ABC530,no
ABC531,no
ABC532,no
ABC533,no
ABC534,no
ABC535,no
ABC536,no
ABC537,no
ABC538,no
ABC539,no
ABC540,no
ABC541,no
ABC542,no
ABC543,no
ABC544,no
ABC545,no
ABC546,no
ABC547,no
ABC548,no
ABC549,no
ABC550,no
ABC551,no
ABC552,no
ABC553,no
ABC554,no
ABC555,no
ABC556,no
ABC557,no
ABC558,no
ABC559,no
ABC560,no
ABC561,no
ABC562,no
ABC563,no
ABC564,no
ABC565,no
ABC566,no
ABC567,no
ABC568,no
ABC569,no
ABC570,yes
ABC571,no
ABC572,no
ABC573,no
ABC574,no
